,cell1,cell2,score,dataset1,dataset2,name1,name2
1329,319,40,0.916666666666667,2,1,Cell819,Cell40
1330,224,40,0.833333333333333,2,1,Cell724,Cell40
1331,11,40,0.416666666666667,2,1,Cell511,Cell40
1332,376,40,0.583333333333333,2,1,Cell876,Cell40
1333,405,41,1,2,1,Cell905,Cell41
1334,36,41,0.5,2,1,Cell536,Cell41
1335,289,42,0.583333333333333,2,1,Cell789,Cell42
1336,208,43,0.25,2,1,Cell708,Cell43
1337,193,44,1,2,1,Cell693,Cell44
1338,275,44,1,2,1,Cell775,Cell44
1339,301,44,0.833333333333333,2,1,Cell801,Cell44
1340,94,44,0.833333333333333,2,1,Cell594,Cell44
1341,389,44,0.416666666666667,2,1,Cell889,Cell44
1342,297,45,0.666666666666667,2,1,Cell797,Cell45
1343,431,45,0.583333333333333,2,1,Cell931,Cell45
1344,13,45,1,2,1,Cell513,Cell45
1345,312,46,1,2,1,Cell812,Cell46
1346,184,46,0.333333333333333,2,1,Cell684,Cell46
1347,149,46,1,2,1,Cell649,Cell46
1348,28,46,0.75,2,1,Cell528,Cell46
1349,360,47,0.25,2,1,Cell860,Cell47
1350,124,47,0.75,2,1,Cell624,Cell47
1351,164,47,0.25,2,1,Cell664,Cell47
1352,61,48,0.5,2,1,Cell561,Cell48
1353,245,49,0.75,2,1,Cell745,Cell49
1354,406,49,1,2,1,Cell906,Cell49
1355,384,49,1,2,1,Cell884,Cell49
1356,342,49,0.583333333333333,2,1,Cell842,Cell49
1357,218,49,0.25,2,1,Cell718,Cell49
1358,375,50,0.666666666666667,2,1,Cell875,Cell50
1359,243,50,0.583333333333333,2,1,Cell743,Cell50
1360,402,50,0.333333333333333,2,1,Cell902,Cell50
1361,154,51,0.166666666666667,2,1,Cell654,Cell51
1362,286,52,1,2,1,Cell786,Cell52
1363,203,52,0.583333333333333,2,1,Cell703,Cell52
1364,321,52,0.75,2,1,Cell821,Cell52
1365,187,53,0.666666666666667,2,1,Cell687,Cell53
1366,107,54,0.583333333333333,2,1,Cell607,Cell54
1367,275,54,0.583333333333333,2,1,Cell775,Cell54
1368,193,54,0.333333333333333,2,1,Cell693,Cell54
1369,293,55,0.833333333333333,2,1,Cell793,Cell55
1370,74,55,0.416666666666667,2,1,Cell574,Cell55
1371,156,56,0.416666666666667,2,1,Cell656,Cell56
1372,244,56,1,2,1,Cell744,Cell56
1373,377,56,0.416666666666667,2,1,Cell877,Cell56
1374,247,57,1,2,1,Cell747,Cell57
1375,209,58,0.666666666666667,2,1,Cell709,Cell58
1376,276,58,0.583333333333333,2,1,Cell776,Cell58
1377,77,59,1,2,1,Cell577,Cell59
1378,344,60,1,2,1,Cell844,Cell60
1379,122,60,0.666666666666667,2,1,Cell622,Cell60
1380,316,60,0.5,2,1,Cell816,Cell60
1381,148,60,1,2,1,Cell648,Cell60
1382,243,61,0.5,2,1,Cell743,Cell61
1383,180,61,0.666666666666667,2,1,Cell680,Cell61
1384,278,62,0.333333333333333,2,1,Cell778,Cell62
1385,216,62,0.166666666666667,2,1,Cell716,Cell62
1386,232,62,0.666666666666667,2,1,Cell732,Cell62
1387,299,63,1,2,1,Cell799,Cell63
1388,233,63,0.833333333333333,2,1,Cell733,Cell63
1389,390,65,0.75,2,1,Cell890,Cell65
1390,29,65,0.416666666666667,2,1,Cell529,Cell65
1391,136,65,0.833333333333333,2,1,Cell636,Cell65
1392,119,66,1,2,1,Cell619,Cell66
1393,3,66,0.666666666666667,2,1,Cell503,Cell66
1394,254,66,0.5,2,1,Cell754,Cell66
1395,91,67,1,2,1,Cell591,Cell67
1396,359,67,0.916666666666667,2,1,Cell859,Cell67
1397,224,67,0.75,2,1,Cell724,Cell67
1398,252,67,0.75,2,1,Cell752,Cell67
1399,133,67,0.5,2,1,Cell633,Cell67
1400,187,69,0.75,2,1,Cell687,Cell69
1401,437,69,0.416666666666667,2,1,Cell937,Cell69
1402,365,70,0.5,2,1,Cell865,Cell70
1403,437,70,0.333333333333333,2,1,Cell937,Cell70
1404,11,70,0.583333333333333,2,1,Cell511,Cell70
1405,403,70,0.583333333333333,2,1,Cell903,Cell70
1406,295,71,0.833333333333333,2,1,Cell795,Cell71
1407,8,71,0.333333333333333,2,1,Cell508,Cell71
1408,1,71,0.5,2,1,Cell501,Cell71
1409,145,72,0.916666666666667,2,1,Cell645,Cell72
1410,252,72,1,2,1,Cell752,Cell72
1411,364,72,1,2,1,Cell864,Cell72
1412,148,74,0.833333333333333,2,1,Cell648,Cell74
1413,135,74,0.416666666666667,2,1,Cell635,Cell74
1414,446,75,0.5,2,1,Cell946,Cell75
1415,115,76,1,2,1,Cell615,Cell76
1416,152,76,0.75,2,1,Cell652,Cell76
1417,317,76,0.333333333333333,2,1,Cell817,Cell76
1418,338,76,0.833333333333333,2,1,Cell838,Cell76
1419,423,76,0.25,2,1,Cell923,Cell76
1420,274,78,0.5,2,1,Cell774,Cell78
1421,378,78,0.833333333333333,2,1,Cell878,Cell78
1422,19,78,0.5,2,1,Cell519,Cell78
1423,227,79,0.416666666666667,2,1,Cell727,Cell79
1424,1,79,0.5,2,1,Cell501,Cell79
1425,83,79,0.5,2,1,Cell583,Cell79
1426,30,79,1,2,1,Cell530,Cell79
1427,220,80,1,2,1,Cell720,Cell80
1428,141,80,0.916666666666667,2,1,Cell641,Cell80
1429,1,80,0.583333333333333,2,1,Cell501,Cell80
1430,308,80,0.666666666666667,2,1,Cell808,Cell80
1431,188,81,0.666666666666667,2,1,Cell688,Cell81
1432,269,81,0.25,2,1,Cell769,Cell81
1433,272,82,0.5,2,1,Cell772,Cell82
1434,181,82,0.666666666666667,2,1,Cell681,Cell82
1435,146,82,0.75,2,1,Cell646,Cell82
1436,282,82,0.583333333333333,2,1,Cell782,Cell82
1437,293,82,0.5,2,1,Cell793,Cell82
